task,seg_id,s_mean,s_sd,n_raters,pos_rate
spike,35,-0.419194569045269,0.2319744190053088,15,0.1333333333333333
spike,36,-0.9113895808554326,0.1114404416095033,151,0.1324503311258278
spike,37,-1.449838582467335,0.756490455414284,20,0.0
spike,38,-1.2701242103772024,0.7663141944425249,14,0.0
spike,39,-1.0652518925474774,0.1114855829304509,187,0.0909090909090909
spike,40,-0.5848847981250611,0.0754384661959798,163,0.1901840490797546
spike,41,-0.4690465682944714,0.0678395670793966,163,0.2331288343558282
spike,42,-1.620299010166441,0.8241093250521575,25,0.0
spike,43,-0.3957175454934603,0.0564619828085335,188,0.2180851063829787
spike,44,-0.3995981546721488,0.0594856629283124,186,0.2903225806451613
spike,45,-0.8358068895623352,0.1052876358269018,163,0.0981595092024539
spike,46,-1.3821532021059668,0.7720720512008142,21,0.0
spike,47,-1.010290517435115,0.118728495917528,161,0.0993788819875776
spike,48,-0.7866346324980347,0.0987915747027463,154,0.1428571428571428
spike,49,-0.2299434712406982,0.0547634166714416,150,0.38
spike,50,-1.693753149768995,0.9870339939458568,12,0.0
spike,51,-1.4079423354067362,0.7374100289432869,14,0.0
spike,52,-0.9753320619905228,0.1207144940586067,152,0.0986842105263157
spike,53,-1.1810785374931572,0.1389029857407663,185,0.0648648648648648
spike,54,-1.655087125239378,0.914098219907498,17,0.0
spike,55,-0.917941367536582,0.1002081699021746,176,0.1022727272727272
spike,56,-0.9882872050549444,0.1095683025863775,176,0.1136363636363636
spike,57,-1.5059282303216552,0.1765593669943423,179,0.0502793296089385
spike,58,-1.766950662265482,0.908848031884191,16,0.0
spike,59,-1.4048610087976388,0.7227858363224897,15,0.0
spike,60,-1.348926898648252,0.179074877246515,169,0.0532544378698224
spike,61,-0.7739163664309975,0.0868729176977861,179,0.1620111731843575
spike,62,-0.5592653736282841,0.0691390262518233,180,0.2388888888888889
spike,63,-0.550972409530048,0.0704463249453219,172,0.2325581395348837
spike,64,-1.0115346282396336,0.3718564633919728,19,0.1052631578947368
spike,65,-0.2387915311719514,0.0825576875814075,44,0.2727272727272727
spike,66,-1.412289509732306,0.7948108706808232,14,0.0
spike,67,-1.6893506670383498,0.2348126876384582,158,0.0379746835443038
spike,68,0.2971301669074908,0.0495078428803378,168,0.7380952380952381
spike,69,-1.6335237972701304,0.9938977571521176,15,0.0
spike,70,-0.7468918060100818,0.0858883211851413,182,0.1703296703296703
spike,71,-1.2791622568784864,0.7561941103220188,12,0.0
spike,72,-1.833854845452197,0.924384688747478,22,0.0
spike,73,-0.7415282244488778,0.0852423207540953,169,0.1301775147928994
spike,74,-1.3245101289836894,0.7435029974845003,17,0.0
spike,75,-0.7114545967358531,0.0900380792088943,156,0.173076923076923
spike,76,-1.089018244877428,0.5814954931356414,11,0.0909090909090909
spike,77,-1.2185759381444978,0.145096621586461,156,0.0512820512820512
spike,78,-0.550395345901064,0.0722214619584166,161,0.1614906832298136
spike,79,-1.642455902560826,0.7601218026306031,21,0.0
spike,80,-0.1193981881846431,0.0482681456997101,175,0.4914285714285714
spike,81,-1.0950024688177298,0.1220761579898531,175,0.08
spike,82,-1.380029247579624,0.7430542377201903,18,0.0
spike,83,-0.4754492649543777,0.221874140267149,18,0.1111111111111111
spike,84,-1.87799479826128,0.88277584278052,22,0.0
spike,85,-0.1475758675576816,0.052952814665921,148,0.4256756756756756
spike,86,-1.2701243108281326,0.7663142768304906,12,0.0
spike,87,-0.1294332871395314,0.0484652759897866,175,0.4057142857142857
spike,88,-1.3016705699723086,0.1563700024083087,160,0.075
spike,89,-1.304520925253825,0.7524861051243528,15,0.0
spike,90,-0.5390140973678585,0.1130167741105196,53,0.1132075471698113
spike,91,-0.9557551267634298,0.0998374019296682,191,0.1099476439790576
spike,92,0.2376267967630934,0.0621858138502148,67,0.6716417910447762
spike,93,-1.559111330944226,0.7802798432158884,18,0.0
spike,94,-0.7664661334255792,0.095791224935672,157,0.10828025477707
spike,95,-1.6339470946250942,0.8922979308747757,19,0.0
spike,96,-1.777817510653112,0.9490402911460254,17,0.0
spike,97,-0.2568244514040109,0.15816065103983,20,0.1
spike,98,-0.961152289441772,0.1293794706614268,135,0.0888888888888888
spike,99,0.0537688875647581,0.0652182680730717,49,0.5102040816326531
spike,100,-0.3224730617613532,0.054653425081625,179,0.3631284916201117
spike,101,-0.8031222185347602,0.0973014198016492,159,0.1069182389937107
spike,102,-0.0484615925674749,0.0469477367541722,180,0.4222222222222222
spike,103,-0.5868652160774952,0.2549287390264155,15,0.1333333333333333
spike,104,-1.2708952605596182,0.7645667342880246,11,0.0
spike,105,-1.1279959321107793,0.1282233727845395,172,0.0465116279069767
spike,106,-0.8615377146424129,0.1014728645390693,173,0.0982658959537572
spike,107,-0.8510921868527455,0.1053824768093268,150,0.1333333333333333
spike,108,-0.4797430753918201,0.0961808649761803,65,0.1384615384615384
spike,109,-0.8180849486616459,0.0935515642899759,169,0.0887573964497041
spike,110,-1.4783417987271776,0.7842610830345108,23,0.0
spike,111,-0.7567793686286188,0.092730338968288,153,0.130718954248366
spike,112,-1.0365858510065418,0.3372780139847394,23,0.0869565217391304
spike,113,-1.3574661426844452,0.7631826932148525,10,0.0
spike,114,-1.6074313618842435,0.935597327476707,14,0.0
spike,115,-1.440596735836301,0.7894568660047011,15,0.0
spike,116,-1.3863951906277738,0.1705918278991879,177,0.0564971751412429
spike,117,-1.8327510211486864,0.9241395840154674,15,0.0
spike,118,-0.6613476919806375,0.0850896100740786,153,0.1568627450980392
spike,119,-0.7367561925288001,0.3008259810996347,16,0.0625
spike,120,-0.534941301592511,0.2364348719387222,17,0.1176470588235294
spike,121,-0.7629899770835541,0.0877756754451226,168,0.125
spike,122,-0.0298751641309136,0.0485411727829214,156,0.5
spike,123,-1.1738645072709255,0.1264598173968344,186,0.0967741935483871
spike,124,0.0229186853776399,0.046197051700354,177,0.5932203389830508
spike,125,-1.4644327010478002,0.8642713129611358,17,0.0
spike,126,-0.1223082684570282,0.2881018973947751,7,0.1428571428571428
spike,127,-0.4578966463838722,0.2048877661901881,23,0.1304347826086956
spike,128,-0.6322737934245086,0.2366801336482856,19,0.0526315789473684
spike,129,-1.284093410816426,0.755747940454933,14,0.0
spike,130,-1.346226608501609,0.7267192270483017,14,0.0
spike,131,-0.938957228167016,0.1156482841468862,162,0.1049382716049382
spike,133,-0.8494368575186174,0.3501072852961341,14,0.1428571428571428
spike,134,-1.4355280825312988,0.7596290271438877,17,0.0
