task,seg_id,s_mean,s_sd
spike,490,-1.750558734,1.327223182
spike,491,-1.420371294,0.9184535146
spike,492,-0.9319572449,0.1755182594
spike,493,-1.881976962,1.157150149
spike,494,-1.893298507,1.215492487
spike,495,-2.01516223,1.048804879
spike,496,-1.863080978,1.137497306
spike,497,-1.830253482,1.124484539
spike,498,-1.302385092,0.2405667752
spike,499,-1.821000218,1.192398667
spike,500,-2.058115244,1.126266837
spike,501,-0.7324982882,0.1538630426
spike,502,-2.229246378,0.6268730164
spike,503,-1.631307602,0.4111029506
spike,504,-1.839826226,1.266077161
spike,505,-1.738598108,0.4192840457
spike,506,-2.066473961,0.4802453816
spike,507,-1.615944624,1.02900207
spike,508,-2.254201174,0.9659512639
spike,509,-1.803455472,1.227520347
spike,510,-2.552520037,0.7472754121
spike,511,-1.827915788,1.201161265
spike,512,-1.990093589,0.4666235745
spike,513,-1.922480941,1.224353671
spike,514,-2.100420952,0.4941237867
spike,515,-1.862280846,1.223454595
spike,516,-0.6930732131,0.1463757306
spike,517,-1.911773801,0.480389446
spike,518,-1.038408875,1.051833749
spike,519,-1.17666626,0.2887921631
spike,520,-1.860509992,1.217049837
spike,521,-1.64754045,0.3724645376
spike,522,-1.332158446,0.2560005486
spike,523,-1.633598447,0.3277303278
spike,524,-1.271842957,0.8405358195
spike,525,-2.68036437,0.5833120942
spike,526,-1.881827235,1.212783337
spike,527,-1.363053203,0.8430038691
spike,528,-1.121341705,0.2469803542
spike,529,-1.687402129,0.3967964351
spike,530,-1.970368028,1.13762331
spike,531,-1.879511714,1.201439142
spike,532,-1.466055036,0.6403295398
spike,533,-1.871321917,1.139896035
spike,534,-1.845940948,0.3827422261
spike,535,-2.169436216,1.028927207
spike,536,-1.231482506,0.260448724
spike,537,-1.6740942,0.3870630562
spike,538,-1.810886741,1.219125628
spike,539,-1.603969574,0.3467929065
spike,540,-0.8873251081,0.1836070269
spike,541,-1.816756845,1.253992558
spike,542,-1.099578619,1.49519968
spike,543,-1.945095181,1.123316884
spike,544,-0.7977206707,0.2072304338
spike,545,-2.098915815,0.5852627754
spike,546,-1.521116257,0.3374775052
spike,547,-1.689314246,0.3739586174
spike,548,-1.652067661,0.4037099183
spike,549,-0.4144871831,0.1641806513
spike,550,-0.6456064582,0.1758348048
spike,551,-1.375783443,0.8385066986
spike,552,-1.92713511,0.4535223246
spike,553,-1.955663085,1.207749009
spike,554,-1.964619517,0.4849686325
spike,555,-1.101487875,0.3062864244
spike,556,-2.374296188,0.5399976373
spike,557,-1.288996935,0.9821333289
spike,558,-1.819846988,1.141831994
spike,559,-2.059798479,0.5012971759
spike,560,-1.512566209,1.109637737
spike,561,-1.586500525,0.9397194982
spike,562,-1.991207719,1.163093567
spike,563,-0.4674808681,0.1420965642
spike,564,-1.701337099,0.3679686785
spike,565,-1.234417677,0.2424423993
spike,566,-2.246715784,0.5406599641
spike,567,-1.056363702,0.2242717594
spike,568,-1.236866474,0.2193881124
spike,569,-0.9267801046,0.1830600798
spike,570,-2.142313242,0.5124214292
spike,571,-0.9513183832,0.1927411258
spike,572,-1.849913836,0.4470529258
spike,573,-0.8832880259,0.2481575012
spike,574,-1.906815171,1.231834054
spike,575,-0.4393303692,0.1422374696
spike,576,-1.913066626,1.273428082
spike,577,-2.11137414,0.5314017534
spike,578,-2.051617861,0.4669236541
spike,579,-2.102295876,0.570135653
spike,580,-1.874322414,1.20093286
spike,581,-1.703661084,0.3632629216
spike,582,-0.6119814515,0.1402225792
spike,583,-1.833175778,0.3798146844
spike,584,-1.772036314,1.232272267
spike,585,-2.233743191,0.5034523606
spike,586,-1.819008827,0.9040019512
spike,587,-2.053510666,1.140395522
spike,588,-0.4995941818,0.1300554127
spike,589,-0.430259794,0.139823854
spike,590,-1.965208173,1.251063108
spike,591,-2.254823446,1.058131456
spike,592,-1.822285414,1.209103584
spike,593,-0.4959264696,0.1464493424
spike,594,-0.3904330432,0.1324670762
spike,595,-1.815889239,1.259196281
spike,596,-1.582871079,0.8997003436
spike,597,-1.578992128,0.3725416064
spike,598,-1.881506324,1.154196739
spike,599,-1.525031805,0.3162975609
spike,600,-1.206266284,0.2464482933
spike,601,-1.337203264,0.819191277
spike,602,-2.103001356,0.5095214844
spike,603,-1.247327089,0.2770352662
spike,604,-1.840373993,1.179338813
spike,605,-0.23494941,2.49405241
spike,606,-0.7794774771,0.1587864459
spike,607,-1.639859796,0.4283916056
spike,608,-1.820821404,0.4580800831
spike,609,-1.578333616,1.134233713
spike,610,-1.9103266,1.10858047
spike,611,-1.953927875,1.240279317
spike,612,-1.687131763,0.3464157879
spike,613,-0.4914574921,0.1329174936
spike,614,-0.1990997195,0.1586115211
spike,615,-1.974787831,0.4903491437
spike,616,-0.9018551111,0.2575053871
spike,617,-1.889469147,1.202476382
spike,618,-2.263496161,0.6086826921
spike,619,-2.344050169,0.8025677204
spike,620,-1.977432847,0.4468216896
spike,621,-0.9724923372,0.1941981614
spike,622,-0.8221259713,0.1639149189
spike,623,-2.393395424,0.6479473114
spike,624,-2.371088266,0.609757185
spike,625,-0.4442158639,0.1304406226
spike,626,-1.842700362,1.247268081
spike,628,-1.874021173,1.160567522
spike,629,-2.147440434,0.4892578721
spike,630,-1.899938107,1.191352844
spike,631,-1.370944738,0.9226867557
spike,632,-2.180856228,0.5643250942
spike,633,-1.799219608,1.195748806
spike,634,-1.94590795,0.4141432941
spike,635,-2.308273554,0.6588215828
spike,636,-1.888020515,1.281199813
spike,637,-1.499347925,0.7770335078
spike,638,-1.921843648,0.4528671503
spike,639,-0.2838332057,0.1573318541
spike,640,-2.332762957,0.7290171385
spike,641,-1.881197453,1.256982446
spike,642,-2.439532518,0.6199352145
spike,643,-2.178072214,0.523560822
spike,644,-1.960302949,1.188981891
spike,645,-2.022037983,1.167238593
spike,646,-2.719150543,0.8354578018
spike,647,-2.203957319,0.5347476006
spike,648,-2.025555611,1.223760605
spike,649,-1.033389688,0.2073596716
spike,650,-1.891957164,1.296897054
spike,651,-0.4196656048,0.1360842735
spike,652,-1.411014438,0.9445789456
spike,653,-1.873733282,1.214749932
spike,654,-1.904421091,1.135821223
spike,655,-1.304212809,0.7679454088
spike,656,-0.7893033028,0.2012556642
spike,657,-1.896809459,0.4256545901
spike,658,-1.192385674,0.2636599839
spike,659,-0.678768456,0.1395684183
spike,660,-2.261047363,0.5672348142
spike,661,-1.055726528,0.2336975038
spike,662,-1.991481662,1.180467963
spike,663,-2.256660223,0.5122221708
spike,664,-0.3678239584,0.1525392383
spike,665,-2.01979804,1.131541014
spike,666,-0.4985128343,0.1560774595
spike,667,-0.4838146269,0.1343760341
spike,668,-1.71861577,1.278290272
spike,669,-1.952349544,0.5012274981
spike,670,-1.97241652,1.353880525
spike,671,-1.669176698,0.3713600934
spike,672,-1.97494185,0.5012116432
spike,673,-0.9097864628,0.7382701635
spike,674,-0.5122430921,0.1279075891
spike,675,-0.3148448765,0.2301954627
spike,676,-1.539829493,0.2838923037
spike,677,-1.785698175,1.195909023
spike,678,-1.457157254,0.3942754567
spike,679,-2.591324091,0.6016667485
spike,680,-2.26388979,0.543769002
spike,681,-1.699496627,0.6707881093
spike,682,-1.581106663,1.078694224
spike,683,-1.226131439,0.2681505978
spike,684,-0.5213655233,0.127199769
spike,685,-1.630969524,0.4032174349
spike,686,-0.2949530482,0.1766720414
spike,687,-0.9461414814,0.1806050688
spike,688,-1.853098989,0.4398843348
spike,689,-0.5237805247,0.1469738781
spike,690,-2.428793669,0.6290966272
spike,691,-1.38215971,0.3724353909
spike,692,-2.319005489,0.5562773943
spike,693,-1.944091678,1.22795105
spike,694,-0.4460688531,0.1231105328
spike,695,-2.446660519,0.5351980925
spike,696,-1.032718778,0.1862224042
spike,697,-1.972649693,0.4864568412
spike,698,-0.7434459925,0.1583539099
spike,699,-1.839410186,1.262393475
spike,700,-2.145130873,0.4949640632
spike,701,-0.6790091395,0.2180964053
spike,702,-1.982188582,1.240759492
spike,703,-1.902353525,1.217586398
spike,704,-1.421625495,0.2812510133
spike,705,-1.673061132,0.3517207503
spike,706,-2.282249212,0.5190524459
spike,707,-1.698564649,0.3096967041
spike,708,-2.330698729,0.7026506662
spike,709,-2.336730003,0.6358312964
spike,710,-1.605726719,0.3752435148
spike,711,-1.696998835,0.3408807516
spike,712,-1.441809654,0.2905870974
spike,713,-0.5853117704,0.1434975266
spike,714,-1.886233807,1.214214087
spike,715,-1.508653045,0.316103071
spike,716,-0.6606989503,0.1334423125
spike,717,-0.751888752,1.307486653
spike,718,-2.245226383,0.5300189853
spike,719,-1.763708472,0.4326644242
spike,720,-1.809944868,1.185128212
spike,721,-0.3451886773,0.1381383687
spike,722,-1.237820148,0.274659574
spike,723,-2.033351421,0.4338346422
spike,724,-1.109658957,0.6543863416
spike,725,-2.040927887,1.177551031
spike,726,-1.798886418,1.193647861
spike,727,-2.182683229,0.5361244678
spike,728,-1.823163509,0.4575575292
